event_id,event_title,event_sub_title,platform
KXUFCMOF-26MAR28ADEPYF,israel adesanya vs joe pyfer method of finish,israel adesanya vs joe pyfer mar 28,kalshi
KXUFCDISTANCE-26MAR28ADEPYF,israel adesanya vs joe pyfer go the distance,israel adesanya vs joe pyfer mar 28,kalshi
KXUFCDISTANCE-26MAR28ABDBEL,mansur abdul malik vs yousri belgaroui go the distance,mansur abdul malik vs yousri belgaroui mar 28,kalshi
KXUFCDISTANCE-26MAR28STILOP,navajo stirling vs bruno lopes go the distance,navajo stirling vs bruno lopes mar 28,kalshi
KXUFCDISTANCE-26MAR28HOOGIB,chase hooper vs lance gibson jr go the distance,chase hooper vs lance gibson jr mar 28,kalshi
KXUFCDISTANCE-26MAR28SIMYAN,ricky simon vs adrian yanez go the distance,ricky simon vs adrian yanez mar 28,kalshi
KXUFCMOV-26MAR28ADEPYF,israel adesanya vs joe pyfer method of victory,israel adesanya vs joe pyfer mar 28,kalshi
KXUFCDISTANCE-26MAR28ONEFER,casey o neill vs gabriella fernandes go the distance,casey o neill vs gabriella fernandes mar 28,kalshi
KXUFCDISTANCE-26MAR28TYBFOR,marcin tybura vs tyrell fortune go the distance,marcin tybura vs tyrell fortune mar 28,kalshi
KXUFCDISTANCE-26MAR28CHIPRI,michael chiesa vs niko price go the distance,michael chiesa vs niko price mar 28,kalshi
KXUFCDISTANCE-26MAR28MCKNEL,terrance mckinney vs kyle nelson go the distance,terrance mckinney vs kyle nelson mar 28,kalshi
KXUFCMOV-26MAR28ABDBEL,mansur abdul malik vs yousri belgaroui method of victory,mansur abdul malik vs yousri belgaroui mar 28,kalshi
KXUFCDISTANCE-26MAR28BAHMUS,ignacio bahamondes vs tofiq musayev go the distance,ignacio bahamondes vs tofiq musayev mar 28,kalshi
KXUFCDISTANCE-26MAR28THABRA,alexia thainara vs bruna brasil go the distance,alexia thainara vs bruna brasil mar 28,kalshi
KXUFCMOV-26MAR28STILOP,navajo stirling vs bruno lopes method of victory,navajo stirling vs bruno lopes mar 28,kalshi
KXUFCMOV-26MAR28HOOGIB,chase hooper vs lance gibson jr method of victory,chase hooper vs lance gibson jr mar 28,kalshi
KXUFCDISTANCE-26MAR28GRABAR,alexa grasso vs maycee barber go the distance,alexa grasso vs maycee barber mar 28,kalshi
KXUFCMOV-26MAR28SIMYAN,ricky simon vs adrian yanez method of victory,ricky simon vs adrian yanez mar 28,kalshi
KXUFCDISTANCE-26MAR28ERODOU,julian erosa vs lerryan douglas go the distance,julian erosa vs lerryan douglas mar 28,kalshi
KXUFCMOV-26MAR28ONEFER,casey o neill vs gabriella fernandes method of victory,casey o neill vs gabriella fernandes mar 28,kalshi
KXUFCMOV-26MAR28TYBFOR,marcin tybura vs tyrell fortune method of victory,marcin tybura vs tyrell fortune mar 28,kalshi
KXUFCMOV-26MAR28CHIPRI,michael chiesa vs niko price method of victory,michael chiesa vs niko price mar 28,kalshi
KXUFCMOV-26MAR28MCKNEL,terrance mckinney vs kyle nelson method of victory,terrance mckinney vs kyle nelson mar 28,kalshi
KXUFCMOV-26MAR28THABRA,alexia thainara vs bruna brasil method of victory,alexia thainara vs bruna brasil mar 28,kalshi
KXUFCMOV-26MAR28GRABAR,alexa grasso vs maycee barber method of victory,alexa grasso vs maycee barber mar 28,kalshi
